id,name
1011001,쌀밥
1012001,기타잡곡밥
1012002,콩밥
1012003,보리밥
1012004,돌솥밥
1012005,현미밥
1012006,흑미밥
1013001,감자밥
1013002,곤드레밥
1014001,김치볶음밥
1014002,주먹밥
1014003,볶음밥
1014004,일반비빔밥
1014005,전주비빔밥
1014006,삼선볶음밥
1014007,새우볶음밥
1014008,알밥
1014009,산채비빔밥
1014010,오므라이스
1014011,육회비빔밥
1014012,해물볶음밥
1014013,열무비빔밥
1015002,불고기덮밥
1015003,소고기국밥
1015004,송이덮밥
1015005,오징어덮밥
1015006,자장밥
1015007,잡채밥
1015008,잡탕밥
1015009,장어덮밥
1015010,제육덮밥
1015011,짬뽕밥
1015012,순대국밥
1015013,카레라이스
1015014,전주콩나물국밥
1015015,해물덮밥
1015016,회덮밥
1015017,소머리국밥
1015018,돼지국밥
1015019,하이라이스
1016001,김치김밥
1016002,농어초밥
1016003,문어초밥
1016004,새우초밥
1016005,새우튀김롤
1016006,샐러드김밥
1016007,광어초밥
1016008,소고기김밥
1016009,갈비삼각김밥
1016010,연어롤
1016011,연어초밥
1016012,유부초밥
1016013,장어초밥
1016014,참치김밥
1016015,참치마요삼각김밥
1016017,치즈김밥
1016018,캘리포니아롤
1016019,한치초밥
1016020,일반김밥
2011001,간자장
2011002,굴짬뽕
2011003,기스면
2011004,김치라면
2011005,김치우동
2011006,김치말이국수
2011007,닭칼국수
2011008,들깨칼국수
2011009,떡라면
2011010,라면
2011011,막국수
2011012,메밀국수
2011013,물냉면
2011014,비빔국수
2011015,비빔냉면
2011016,삼선우동
2011017,삼선자장면
2011018,삼선짬뽕
2011019,수제비
2011020,쌀국수
2011021,열무김치국수
2011023,오일소스스파게티
2011024,일식우동
2011025,볶음우동
2011027,자장면
2011028,잔치국수
2011029,짬뽕
2011030,짬뽕라면
2011031,쫄면
2011032,치즈라면
2011033,콩국수
2011034,크림소스스파게티
2011035,토마토소스스파게티
2011036,해물칼국수
2011037,회냉면
2011038,떡국
2011039,떡만둣국
2011040,짜장라면
2012001,고기만두
2012002,군만두
2012003,김치만두
2012004,물만두
2012005,만둣국
3011001,게살죽
3011002,깨죽
3011003,닭죽
3011004,소고기버섯죽
3011005,어죽
3011006,잣죽
3011007,전복죽
3011008,참치죽
3011009,채소죽
3011010,팥죽
3011011,호박죽
3012001,콘스프
3012002,토마토스프
4011001,굴국
4011002,김치국
4011003,달걀국
4011004,감자국
4011005,미역국
4011006,바지락조개국
4011007,소고기무국
4011008,소고기미역국
4011010,순대국
4011011,어묵국
4011012,오징어국
4011013,토란국
4011014,탕국
4011015,홍합미역국
4011016,황태해장국
4012001,근대된장국
4012002,미소된장국
4012003,배추된장국
4012004,뼈다귀해장국
4012005,선지(해장)국
4012006,콩나물국
4012007,시금치된장국
4012008,시래기된장국
4012009,쑥된장국
4012010,아욱된장국
4012011,우거지된장국
4012012,우거지해장국
4012013,우렁된장국
4013002,갈비탕
4013003,감자탕
4013004,곰탕
4013005,매운탕
4013006,꼬리곰탕
4013007,꽃게탕
4013008,낙지탕
4013009,내장탕
4013010,닭곰탕
4013011,닭볶음탕
4013012,지리탕
4013013,도가니탕
4013014,삼계탕
4013015,설렁탕
4013017,알탕
4013018,연포탕
4013019,오리탕
4013020,추어탕
4013021,해물탕
4013022,닭개장
4013023,육개장
4013024,뼈해장국
4014001,미역오이냉국
4015001,고등어찌개
4015002,꽁치찌개
4015003,동태찌개
4016001,부대찌개
4017001,된장찌개
4017002,청국장찌개
4018001,두부전골
4018002,곱창전골
4018003,소고기전골
4018004,국수전골
4019001,돼지고기김치찌개
4019002,버섯찌개
4019003,참치김치찌개
4019004,순두부찌개
4019005,콩비지찌개
4019006,햄김치찌개
4019007,호박찌개
4019008,고추장찌개
5011001,대구찜
5011002,도미찜
5011004,문어숙회
5011008,아귀찜
5011010,조기찜
5011011,참꼬막
5011012,해물찜
5012001,소갈비찜
5012002,돼지갈비찜
5012003,돼지고기수육
5012004,찜닭
5012005,족발
5013001,달걀찜
6012001,닭갈비
6012002,닭꼬치
6012003,돼지갈비
6012004,떡갈비
6012005,불고기
6012006,소곱창구이
6012007,소양념갈비구이
6012008,소불고기
6012009,양념왕갈비
6012010,햄버거스테이크
6012011,훈제오리
6012012,치킨데리야끼
6012013,치킨윙
6013001,더덕구이
6013002,양배추구이
6013003,두부구이
6014001,삼치구이
7011001,가자미전
7011002,굴전
7011003,동태전
7011004,해물파전
7012001,동그랑땡
7012002,햄부침
7012003,육전
7013001,감자전
7013002,고추전
7013003,김치전
7013004,깻잎전
7013005,녹두빈대떡
7013006,미나리전
7013007,배추전
7013008,버섯전
7013009,부추전
7013010,야채전
7013011,파전
7013012,호박부침개
7013013,호박전
7014001,달걀말이
7014002,두부부침
7014003,두부전
8011001,건새우볶음
8011002,낙지볶음
8011003,멸치볶음
8011004,어묵볶음
8011005,오징어볶음
8011006,오징어채볶음
8011007,주꾸미볶음
8011008,해물볶음
8012001,감자볶음
8012002,김치볶음
8012003,깻잎나물볶음
8012004,느타리버섯볶음
8012005,두부김치
8012006,머위나물볶음
8012007,양송이버섯볶음
8012008,표고버섯볶음
8012009,고추잡채
8012010,호박볶음
8013001,돼지고기볶음
8013002,돼지껍데기볶음
8013003,소세지볶음
8013004,순대볶음
8013005,오리불고기
8013006,오삼불고기
8014001,떡볶이
8014002,라볶이
8014003,마파두부
9011001,가자미조림
9011002,갈치조림
9011003,고등어조림
9011004,꽁치조림
9011005,동태조림
9011006,북어조림
9011007,조기조림
9011008,코다리조림
9012001,달걀장조림
9012002,메추리알장조림
9013001,돼지고기메추리알장조림
9013002,소고기메추리알장조림
9014001,고추조림
9014002,감자조림
9014003,우엉조림
9014004,알감자조림
9015001,(검은)콩조림
9015002,콩조림
9015003,두부고추장조림
9016001,땅콩조림
10011001,미꾸라지튀김
10011002,새우튀김
10011003,생선가스
10011004,쥐포튀김
10011005,오징어튀김
10012001,닭강정
10012002,닭튀김
10012003,돈가스
10012004,모래집튀김
10012005,양념치킨
10012006,치즈돈가스
10012007,치킨가스
10012008,탕수육
10012009,깐풍기
10014001,감자튀김
10014002,고구마맛탕
10014003,고구마튀김
10014004,고추튀김
10014005,김말이튀김
10014006,채소튀김
11011001,노각무침
11011002,단무지무침
11011003,달래나물무침
11011004,더덕무침
11011005,도라지생채
11011006,도토리묵
11011007,마늘쫑무침
11011008,무생채
11011009,무말랭이
11011010,오이생채
11011011,파무침
11012001,상추겉절이
11012002,쑥갓나물무침
11012003,청포묵무침
11012004,해파리냉채
11013001,가지나물
11013002,고사리나물
11013003,도라지나물
11013004,무나물
11013005,미나리나물
11013006,숙주나물
11013007,시금치나물
11013009,취나물
11013010,콩나물
11013011,고구마줄기나물
11013012,우거지나물무침
11014001,골뱅이무침
11014002,김무침
11014003,미역초무침
11014004,북어채무침
11014005,회무침
11014006,쥐치채
11014007,파래무침
11014008,홍어무침
11014009,골뱅이국수무침
11014010,오징어무침
11015001,잡채
11015002,탕평채
12011001,갓김치
12011002,고들빼기
12011003,깍두기
12011004,깻잎김치
12011005,나박김치
12011006,동치미
12011007,배추겉절이
12011008,배추김치
12011009,백김치
12011010,꿀떡
12011011,열무김치
12011012,열무얼갈이김치
12011013,오이소박이
12011014,총각김치
12011015,파김치
13011001,간장게장
13011002,마늘쫑장아찌
13011003,고추장아찌
13011004,깻잎장아찌
13011005,마늘장아찌
13011006,인절미
13011007,양념게장
13011008,양파장아찌
13011009,오이지
13011010,무피클
13011011,오이피클
13011012,단무지
13012001,오징어젓갈
13012002,명란젓
14011001,생연어
14011002,생선물회
14011004,광어회
14011005,훈제연어
14012001,육회
14012002,육사시미
15011001,가래떡
15011002,경단
15011003,부추김치
15011004,시루떡
15011005,메밀전병
15011006,찰떡
15011007,무지개떡
15011008,백설기
15011009,송편
15011010,수수부꾸미
15011011,수수팥떡
15011012,쑥떡
15011013,약식
15011014,무장아찌
15011015,절편
15011016,증편
15011017,찹쌀떡
16011001,매작과
16011002,다식
16011003,약과
16011004,유과
16011005,산자
16011006,깨강정
